Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes,Genre,Style,Votes,Comments,Weighted Rating
EGO MIX 081,Coburn,Razorblade,Ego Music,"12""",4.86,2007,1150977,House,2024-12-09 08:12:47,,,,Electronic,"House, Electro",7,0,4.3672513440860214
AIRWAYS 001,Mason,Exceeder (Aqua Ski Mix),Not On Label (Mason),"12"", S/Sided, Unofficial",4.86,2007,1000958,Uncategorized,2024-12-08 05:09:13,,,,Electronic,Breakbeat,7,0,4.3672513440860214
TIMSANCHEZ002,Tim Sanchez,Volume 2,Not On Label (Tim Sanchez Self-released),"12""",4.86,2007,995581,House,2024-12-07 10:41:32,,,,Electronic,"House, Disco",7,0,4.3672513440860214
FR128,Marc Poppcke,Far Away From You,Freerange Records,"12""",4.7,2009,2016713,House,2024-12-07 09:50:37,,,,Electronic,"House, Disco",10,0,4.362178259408602
MOBILEE 061,Pan-Pot,Confronted (The Remixes),Mobilee,"12""",4.44,2009,2056102,Techno,2024-12-09 12:30:07,,,,Electronic,Techno,43,0,4.361618916242219
REBELONE 010,Teflon (4),The Wombat,Rebelone,"12"", S/Sided, Whi",4.44,2007,1070033,minimal,2024-12-07 10:57:25,,,,Electronic,"Tech House, Minimal",43,0,4.361618916242219
ANDRO 002,Frankie Goes To Hollywood,Two Tribez,Not On Label (Frankie Goes To Hollywood),"12"", Unofficial",4.62,2006,776996,progressive house,2024-12-09 08:41:52,,,,Electronic,Progressive House,13,0,4.361195489844683
RENX059,Henry Saiz,Artificial Paradises EP,Renaissance,"12"", EP",4.62,2008,1437672,tech house,2024-12-08 10:35:41,,,,Electronic,Tech House,13,0,4.361195489844683
Tiger WL05,Fragma,Toca's Miracle / Toca Me,Tiger Records,"12"", TP",4.4,2007,1144197,House,2024-12-08 02:19:51,,,,Electronic,"House, Trance",80,0,4.358428491763898
"SER054, 984 546 2",Arno Cost & Julien Arias,Magenta,"Serial Records, Airplay Records","12""",4.48,2007,893655,House,2024-12-08 07:55:30,,,,Electronic,House,27,0,4.357372639653816
"MIN020, MINISTRY 020",ENUR Ft. Natasja,Calabria 2007,"Ministry Of Sound, Ministry Of Sound","12""",4.53,2007,1008837,House,2024-12-09 03:19:29,,,,Electronic,House,19,0,4.356432673509286
MGF 011,Cosmic Cowboys,Piano Africano EP,Musik Gewinnt Freunde,"12"", EP",4.56,2010,2088843,Uncategorized,2024-12-10 13:27:28,,,,Electronic,"Tech House, House",16,0,4.355075940860215
TOOL015,Southside Hustlers,Right Before My Eyes,Toolroom Records,"12""",4.56,2005,522517,Uncategorized,2024-12-08 03:47:12,,,,Electronic,House,16,0,4.355075940860215
SUB 134,Gadjo,So Many Times,Subliminal,"12""",4.39,2004,328794,House,2024-12-07 08:53:29,,,,Electronic,House,90,0,4.35377190601737
SUB 134,Gadjo,So Many Times,Subliminal,"12""",4.39,2004,328794,Uncategorized,2024-12-10 12:15:29,,,,Electronic,House,90,0,4.35377190601737
FAR 002,Faze Action,Stratus Energy,Faze Action,"12""",4.5,2007,953241,Uncategorized,2024-12-10 12:05:54,,,,Electronic,"House, Disco",22,0,4.35256328405018
USM033,Distant Fragment & Steve Mill,Utopia,T.U.S.O.M. Recordings,"12""",4.5,2006,840329,progressive house,2024-12-08 04:49:00,,,,Electronic,Progressive House,22,0,4.35256328405018
FAME025,Mischa Daniëls Feat. Natasha Hamilton,Round & Round (Take Me Higher),Fame Recordings,"12""",5.0,2007,1093074,House,2024-12-07 10:04:16,,,,Electronic,House,5,0,4.352225169779287
rejected 004,Heiko Laux & Alexander Lukat,Mirabella / Zeitluke,Rejected (3),"12""",4.41,2008,1296901,minimal,2024-12-08 04:03:41,,,,Electronic,"Techno, Minimal",56,0,4.352175403225806
AFULAB 08,Kiko,Cala Rossa,AFULAB,"12""",4.48,2009,1844538,Uncategorized,2024-12-10 11:15:23,,,,Electronic,"Techno, Electro, Minimal Techno",25,0,4.351084057071961
KM008,Tjark,New Days (Incl. Oliver Koletzki Rmx),KarateMusik,"12""",4.44,2005,565821,Uncategorized,2024-12-10 10:48:16,,,,Electronic,"Electro, Tech House, Minimal",36,0,4.350645564516129
tnx022,Alex Neri & Luca Bacchetti,La Fotografia,Tenax Recordings,"12""",4.43,2007,984113,Uncategorized,2024-12-10 13:27:43,,,,Electronic,"Techno, Minimal",40,0,4.349857004181601
MSR 105,Yves Murasca,Saxophobic Satisfaction,Milk & Sugar Recordings,"12""",4.75,2007,1016169,Uncategorized,2024-12-07 08:22:25,,,,Electronic,House,8,0,4.3496490102639305
541416 501243,Various,Dance Train Classics Vinyl 23,541,"12"", Comp",4.4,2004,298974,House,2024-12-09 12:09:00,,,,Electronic,House,63,0,4.349250366568915
MOUSE 007,Cirez D,Teaser,Mouseville,"12""",4.38,2007,1166000,progressive house,2024-12-08 02:26:11,,,,Electronic,"Progressive House, Electro House, Tech House",95,0,4.346718148860609
neverending 004,Citizen Kain & Phuture Traxx,Cameleon EP,Neverending Records,"12"", EP",4.57,2009,1946012,Uncategorized,2024-12-10 12:12:18,,,,Electronic,"Electro, Tech House, Minimal",14,0,4.345438508064516
JEE014,Jerome Isma-Ae & Strobe (12),Villa Nova,Jee Productions,"12"", S/Sided, Ltd",4.53,2008,1381700,progressive house,2024-12-09 08:37:55,,,,Electronic,Progressive House,17,0,4.345234781477627
send080,Ahmet Sendil,Are Your Kisses Dynamite?,Sender Records,"12""",4.53,2008,1546675,tech house,2024-12-08 02:44:40,,,,Electronic,Tech House,17,0,4.345234781477627
send080,Ahmet Sendil,Are Your Kisses Dynamite?,Sender Records,"12""",4.53,2008,1546675,tech house,2024-12-09 13:10:55,,,,Electronic,Tech House,17,0,4.345234781477627
ACKER RECORDS 11,Martin Eulenhaupt & Ronny Mollenhauer,Troja,Acker Records,"12"", EP, Pic",4.5,2009,1851631,Uncategorized,2024-12-10 10:45:00,,,,Electronic,Tech House,20,0,4.343890536053131
E.R. LTD 02,Rossella,Seven Kinds Of Intelligence (Part One),Elettronica Romana LTD,"12""",4.5,2007,1150528,Uncategorized,2025-01-22 04:21:31,,,,Electronic,Minimal,20,0,4.343890536053131
E.R. LTD 02,Rossella,Seven Kinds Of Intelligence (Part One),Elettronica Romana LTD,"12""",4.5,2007,1150528,Uncategorized,2025-01-22 04:22:49,,,,Electronic,Minimal,20,0,4.343890536053131
CLR 029,Chris Liebing vs. Green Velvet / Alex Bau,Auf Und Ab Und Kinda High (Dustin Zahn Mix) / Arctica,CLR (2),"10""",4.39,2010,2176917,Techno,2024-12-08 10:51:50,,,,Electronic,Techno,62,0,4.340424713497453
LEFTLP001S,Various,Don't Be Leftout Vinyl Sampler 01,Leftroom,"12"", Ltd, Smplr",4.48,2007,1085140,minimal,2024-12-09 04:38:23,,,,Electronic,"Techno, Minimal",21,0,4.336350806451613
G-HIGH 026,Armand Sarkowski,One Time,G-High Records,"12""",4.5,2004,321141,Uncategorized,2024-12-08 05:12:09,,,,Electronic,"House, Deep House",18,0,4.334133694556452
